AccidentDate,Timing,State,WeatherCondition,RoadCondition,Deaths,Reason
2000-11-27,Afternoon,Jharkhand,Clear,Fine,3,Weather Conditions
2012-05-09,Morning,Tamil Nadu,Foggy,Under Construction,0,Mechanical Failure
2007-09-16,Night,Uttarakhand,Clear,Rough,9,Driver Fatigue
2017-01-18,Afternoon,Goa,Rainy,Rough,10,Poor Visibility
2016-02-08,Night,Karnataka,Foggy,Under Construction,10,Road Conditions
2020-01-06,Night,West Bengal,Clear,Under Construction,2,Weather Conditions
2023-12-30,Afternoon,Bihar,Foggy,Fine,0,Driver Fatigue
2011-11-08,Afternoon,Tripura,Rainy,Under Construction,3,Mechanical Failure
2008-05-27,Morning,Nagaland,Rainy,Under Construction,9,Weather Conditions
2009-12-07,Morning,West Bengal,Rainy,Rough,5,Reckless Driving
2011-06-20,Night,Kerala,Foggy,Fine,0,Speeding
2015-03-18,Afternoon,Meghalaya,Foggy,Under Construction,3,Mechanical Failure
2004-04-05,Afternoon,Bihar,Rainy,Fine,8,Speeding
2011-05-06,Night,Gujarat,Rainy,Rough,8,Mechanical Failure
2023-05-20,Afternoon,Karnataka,Clear,Rough,9,Poor Visibility
2013-10-23,Night,Tamil Nadu,Rainy,Fine,3,Weather Conditions
2000-09-21,Night,Rajasthan,Clear,Rough,4,Poor Visibility
2014-11-08,Morning,Chhattisgarh,Rainy,Fine,1,Driver Fatigue
2018-05-13,Morning,Punjab,Clear,Rough,3,Drunk Driving
2020-04-07,Afternoon,West Bengal,Clear,Rough,5,Driver Fatigue
2022-10-09,Morning,Andhra Pradesh,Clear,Fine,7,Poor Visibility
2001-03-23,Morning,Himachal Pradesh,Foggy,Under Construction,4,Poor Visibility
2015-07-23,Afternoon,Kerala,Foggy,Under Construction,7,Road Conditions
2011-04-23,Night,Punjab,Foggy,Under Construction,6,Weather Conditions
2019-01-26,Morning,Tamil Nadu,Clear,Under Construction,6,Mechanical Failure
2021-04-16,Afternoon,Karnataka,Foggy,Under Construction,0,Reckless Driving
2003-02-14,Night,Karnataka,Foggy,Rough,6,Drunk Driving
2009-08-20,Evening,Manipur,Rainy,Under Construction,4,Road Conditions
2013-09-25,Morning,Uttar Pradesh,Rainy,Rough,8,Poor Visibility
2018-07-31,Afternoon,Goa,Foggy,Rough,4,Speeding
2007-07-10,Morning,Assam,Rainy,Rough,7,Road Conditions
2012-01-31,Afternoon,Arunachal Pradesh,Clear,Fine,7,Reckless Driving
2006-07-10,Evening,Goa,Clear,Fine,6,Speeding
2000-10-17,Evening,Jharkhand,Rainy,Rough,2,Driver Fatigue
2000-05-18,Afternoon,Maharashtra,Foggy,Rough,4,Speeding
2004-09-05,Afternoon,Mizoram,Clear,Fine,6,Distracted Driving
2004-12-19,Afternoon,Gujarat,Foggy,Under Construction,10,Mechanical Failure
2001-12-07,Morning,Madhya Pradesh,Foggy,Rough,6,Distracted Driving
2016-01-07,Afternoon,Karnataka,Clear,Fine,10,Weather Conditions
2009-09-02,Morning,Kerala,Rainy,Rough,10,Reckless Driving
2008-08-06,Afternoon,Jharkhand,Foggy,Rough,8,Road Conditions
2000-11-17,Night,Meghalaya,Foggy,Fine,10,Speeding
2003-02-04,Evening,Assam,Clear,Fine,4,Reckless Driving
2004-02-25,Evening,Mizoram,Foggy,Under Construction,8,Weather Conditions
2004-05-04,Evening,Gujarat,Foggy,Under Construction,4,Driver Fatigue
2014-08-29,Afternoon,Haryana,Foggy,Fine,10,Drunk Driving
2007-04-09,Night,Gujarat,Clear,Fine,5,Mechanical Failure
2012-11-23,Morning,Uttar Pradesh,Rainy,Fine,5,Speeding
2008-08-01,Night,Nagaland,Rainy,Fine,10,Distracted Driving
2011-01-22,Afternoon,Uttar Pradesh,Clear,Fine,2,Driver Fatigue
2019-07-14,Night,Sikkim,Clear,Under Construction,7,Driver Fatigue
2014-03-12,Afternoon,Arunachal Pradesh,Clear,Under Construction,9,Drunk Driving
2000-05-30,Morning,Madhya Pradesh,Rainy,Under Construction,10,Mechanical Failure
2013-01-30,Evening,Telangana,Foggy,Rough,6,Poor Visibility
2017-03-23,Afternoon,Meghalaya,Clear,Under Construction,9,Drunk Driving
2010-05-20,Evening,Uttarakhand,Foggy,Fine,10,Driver Fatigue
2014-03-09,Night,Gujarat,Rainy,Under Construction,3,Drunk Driving
2022-05-19,Evening,Karnataka,Rainy,Rough,9,Drunk Driving
2006-05-06,Night,Arunachal Pradesh,Clear,Rough,7,Reckless Driving
2015-05-22,Night,Uttarakhand,Foggy,Under Construction,0,Weather Conditions
2013-11-12,Night,Tripura,Foggy,Rough,4,Distracted Driving
2007-04-10,Evening,Himachal Pradesh,Foggy,Rough,8,Distracted Driving
2010-10-21,Evening,Haryana,Foggy,Rough,3,Mechanical Failure
2014-04-10,Morning,Uttar Pradesh,Rainy,Rough,0,Poor Visibility
2021-07-12,Evening,Assam,Foggy,Fine,4,Driver Fatigue
2011-05-08,Night,Karnataka,Clear,Rough,2,Road Conditions
2018-03-17,Night,Andhra Pradesh,Rainy,Fine,2,Road Conditions
2020-03-07,Afternoon,Haryana,Clear,Rough,5,Weather Conditions
2018-02-19,Morning,Rajasthan,Clear,Rough,9,Drunk Driving
2019-04-26,Afternoon,Madhya Pradesh,Clear,Fine,3,Reckless Driving
2017-05-25,Night,Uttarakhand,Foggy,Rough,3,Reckless Driving
2016-10-23,Morning,Odisha,Clear,Under Construction,5,Weather Conditions
2022-06-02,Night,West Bengal,Foggy,Rough,5,Poor Visibility
2019-11-02,Evening,Haryana,Foggy,Under Construction,5,Reckless Driving
2021-03-15,Morning,Telangana,Rainy,Under Construction,6,Road Conditions
2022-04-09,Afternoon,Manipur,Rainy,Under Construction,0,Weather Conditions
2011-05-29,Night,Punjab,Rainy,Fine,4,Speeding
2022-04-26,Night,Karnataka,Foggy,Under Construction,4,Weather Conditions
2021-11-12,Morning,Sikkim,Foggy,Under Construction,0,Speeding
2023-11-07,Night,Telangana,Clear,Rough,10,Distracted Driving
2009-06-08,Morning,Sikkim,Foggy,Fine,2,Weather Conditions
2006-02-28,Night,Chhattisgarh,Clear,Under Construction,4,Mechanical Failure
2023-04-19,Afternoon,Goa,Clear,Fine,4,Distracted Driving
2010-05-08,Morning,Jharkhand,Clear,Under Construction,6,Distracted Driving
2016-05-30,Afternoon,Sikkim,Rainy,Under Construction,10,Drunk Driving
2019-04-09,Night,Mizoram,Clear,Under Construction,8,Mechanical Failure
2023-11-05,Night,West Bengal,Clear,Under Construction,6,Mechanical Failure
2007-11-22,Night,Goa,Clear,Rough,2,Drunk Driving
2016-03-25,Morning,Andhra Pradesh,Foggy,Fine,7,Poor Visibility
2005-01-30,Night,Bihar,Foggy,Fine,9,Driver Fatigue
2011-04-18,Afternoon,Arunachal Pradesh,Rainy,Under Construction,2,Speeding
2001-01-31,Night,Uttarakhand,Foggy,Rough,1,Drunk Driving
2014-10-09,Night,Mizoram,Clear,Rough,7,Road Conditions
2001-04-16,Afternoon,Odisha,Foggy,Fine,0,Speeding
2018-09-21,Morning,Haryana,Clear,Rough,7,Reckless Driving
2002-09-24,Night,Tripura,Foggy,Rough,1,Distracted Driving
2008-12-05,Morning,Assam,Rainy,Fine,4,Driver Fatigue
2008-11-23,Night,Gujarat,Foggy,Fine,7,Road Conditions
2007-06-22,Morning,Jharkhand,Rainy,Rough,7,Mechanical Failure
2020-04-29,Afternoon,West Bengal,Clear,Rough,8,Road Conditions
2019-05-17,Morning,Maharashtra,Rainy,Rough,7,Poor Visibility
2021-12-02,Night,Goa,Rainy,Fine,3,Weather Conditions
2014-09-06,Morning,Uttar Pradesh,Rainy,Rough,3,Reckless Driving
2008-10-24,Night,Meghalaya,Foggy,Under Construction,5,Road Conditions
2022-03-26,Night,Himachal Pradesh,Foggy,Fine,7,Driver Fatigue
2005-02-06,Afternoon,Assam,Foggy,Under Construction,3,Mechanical Failure
2003-01-13,Night,Mizoram,Clear,Fine,5,Driver Fatigue
2004-02-18,Morning,Punjab,Clear,Fine,4,Weather Conditions
2003-03-09,Evening,Assam,Clear,Rough,2,Poor Visibility
2008-04-28,Morning,Punjab,Clear,Rough,7,Speeding
2006-03-10,Night,Gujarat,Rainy,Under Construction,3,Road Conditions
2007-05-07,Night,Tamil Nadu,Clear,Fine,0,Speeding
2022-05-18,Morning,Manipur,Clear,Fine,0,Road Conditions
2015-08-24,Morning,Meghalaya,Rainy,Under Construction,10,Road Conditions
2013-09-22,Night,Nagaland,Clear,Fine,9,Drunk Driving
2012-05-20,Morning,Arunachal Pradesh,Foggy,Fine,7,Reckless Driving
2011-02-09,Morning,Odisha,Rainy,Fine,3,Weather Conditions
2003-04-20,Afternoon,Uttar Pradesh,Clear,Under Construction,8,Weather Conditions
2021-10-03,Night,Arunachal Pradesh,Rainy,Under Construction,1,Weather Conditions
2012-11-01,Afternoon,Mizoram,Clear,Rough,4,Weather Conditions
2020-05-10,Afternoon,Tripura,Foggy,Under Construction,5,Poor Visibility
2017-12-28,Afternoon,Arunachal Pradesh,Rainy,Under Construction,5,Reckless Driving
2022-03-16,Morning,Goa,Clear,Fine,5,Speeding
2001-02-18,Night,Odisha,Foggy,Under Construction,10,Mechanical Failure
2022-03-23,Evening,Assam,Foggy,Under Construction,2,Mechanical Failure
2008-12-19,Afternoon,Gujarat,Foggy,Under Construction,3,Road Conditions
2019-02-02,Afternoon,Gujarat,Foggy,Under Construction,4,Weather Conditions
2006-02-08,Morning,Bihar,Foggy,Rough,10,Poor Visibility
2014-09-22,Afternoon,Maharashtra,Foggy,Fine,1,Speeding
2018-08-15,Afternoon,Assam,Foggy,Fine,0,Road Conditions
2019-01-18,Night,Madhya Pradesh,Foggy,Rough,7,Distracted Driving
2009-12-10,Afternoon,Sikkim,Rainy,Under Construction,6,Speeding
2004-08-11,Morning,Nagaland,Clear,Rough,9,Drunk Driving
2020-12-17,Evening,Nagaland,Clear,Under Construction,7,Reckless Driving
2008-07-21,Night,Gujarat,Clear,Under Construction,7,Driver Fatigue
2005-06-20,Evening,Telangana,Rainy,Under Construction,8,Mechanical Failure
2020-05-24,Evening,Madhya Pradesh,Clear,Fine,2,Speeding
2003-08-21,Evening,Arunachal Pradesh,Foggy,Fine,10,Driver Fatigue
2013-09-11,Morning,Gujarat,Rainy,Rough,10,Poor Visibility
2019-06-23,Night,Haryana,Clear,Rough,2,Poor Visibility
2018-04-04,Night,Uttar Pradesh,Clear,Rough,0,Poor Visibility
2020-05-17,Night,Meghalaya,Clear,Rough,6,Mechanical Failure
2022-05-26,Night,Karnataka,Clear,Under Construction,3,Driver Fatigue
2010-01-31,Morning,Punjab,Rainy,Rough,0,Weather Conditions
2004-08-25,Evening,Haryana,Rainy,Fine,7,Driver Fatigue
2016-06-15,Night,Tamil Nadu,Rainy,Rough,0,Speeding
2015-01-19,Night,Uttarakhand,Foggy,Under Construction,1,Distracted Driving
2009-06-07,Night,Maharashtra,Rainy,Fine,7,Distracted Driving
2016-02-08,Morning,Manipur,Clear,Fine,6,Mechanical Failure
2005-03-06,Night,Mizoram,Foggy,Fine,1,Speeding
2018-05-23,Morning,Goa,Clear,Fine,4,Drunk Driving
2011-10-21,Evening,Assam,Rainy,Fine,1,Distracted Driving
2005-03-13,Morning,Telangana,Foggy,Fine,7,Poor Visibility
2000-05-26,Afternoon,West Bengal,Clear,Under Construction,9,Distracted Driving
2020-05-18,Night,Bihar,Clear,Fine,3,Drunk Driving
2014-01-27,Morning,Manipur,Clear,Fine,5,Poor Visibility
2014-07-13,Morning,Meghalaya,Clear,Rough,4,Weather Conditions
2008-05-14,Morning,Himachal Pradesh,Rainy,Fine,2,Speeding
2013-09-15,Night,Punjab,Clear,Rough,10,Poor Visibility
2008-07-28,Night,Uttarakhand,Foggy,Under Construction,0,Mechanical Failure
2007-11-03,Afternoon,Uttarakhand,Foggy,Rough,0,Reckless Driving
2003-01-06,Evening,Uttar Pradesh,Rainy,Fine,1,Distracted Driving
2010-03-16,Night,Tripura,Foggy,Fine,5,Mechanical Failure
2001-08-28,Night,Manipur,Foggy,Fine,7,Road Conditions
2005-05-16,Night,Rajasthan,Clear,Rough,6,Poor Visibility
2011-10-27,Morning,Sikkim,Clear,Fine,4,Road Conditions
2018-08-12,Night,Assam,Clear,Rough,9,Mechanical Failure
2002-11-05,Morning,Goa,Clear,Rough,9,Weather Conditions
2013-06-18,Night,Tripura,Rainy,Fine,3,Reckless Driving
2020-08-17,Night,Maharashtra,Foggy,Under Construction,2,Poor Visibility
2015-08-09,Morning,Tamil Nadu,Rainy,Rough,4,Drunk Driving
2019-04-18,Night,Haryana,Rainy,Fine,8,Mechanical Failure
2017-07-12,Evening,Meghalaya,Rainy,Under Construction,5,Driver Fatigue
2004-10-17,Night,Arunachal Pradesh,Rainy,Rough,1,Reckless Driving
2005-08-18,Morning,Bihar,Foggy,Fine,2,Drunk Driving
2002-11-11,Night,Telangana,Clear,Fine,4,Mechanical Failure
2021-08-22,Afternoon,Chhattisgarh,Clear,Fine,4,Weather Conditions
2017-06-06,Night,Nagaland,Foggy,Fine,1,Driver Fatigue
2005-05-04,Morning,Kerala,Foggy,Rough,8,Drunk Driving
2013-12-29,Night,Assam,Foggy,Rough,7,Reckless Driving
2003-12-12,Morning,West Bengal,Foggy,Under Construction,1,Mechanical Failure
2022-05-22,Morning,Gujarat,Clear,Rough,5,Mechanical Failure
2019-11-12,Afternoon,Gujarat,Rainy,Rough,8,Speeding
2019-09-16,Night,Rajasthan,Clear,Fine,9,Reckless Driving
2002-08-23,Evening,Telangana,Rainy,Under Construction,4,Weather Conditions
2003-11-30,Night,Uttar Pradesh,Rainy,Rough,6,Speeding
2007-08-14,Morning,Punjab,Foggy,Under Construction,5,Distracted Driving
2001-02-15,Afternoon,Uttarakhand,Rainy,Rough,4,Distracted Driving
2005-11-13,Afternoon,Tamil Nadu,Rainy,Fine,3,Road Conditions
2023-11-26,Morning,Telangana,Foggy,Fine,6,Speeding
2016-09-01,Afternoon,Meghalaya,Rainy,Fine,10,Reckless Driving
2005-05-11,Evening,Telangana,Rainy,Fine,9,Weather Conditions
2014-03-30,Afternoon,Chhattisgarh,Clear,Rough,6,Reckless Driving
2000-11-18,Afternoon,Uttar Pradesh,Rainy,Under Construction,1,Distracted Driving
2023-06-08,Night,Uttar Pradesh,Foggy,Under Construction,7,Distracted Driving
2010-08-14,Night,Mizoram,Rainy,Fine,5,Distracted Driving
2007-03-01,Night,Odisha,Rainy,Under Construction,5,Reckless Driving
2011-06-10,Afternoon,Gujarat,Foggy,Fine,9,Distracted Driving
2005-10-29,Morning,Odisha,Foggy,Under Construction,9,Driver Fatigue
2023-01-01,Afternoon,Nagaland,Rainy,Rough,10,Driver Fatigue
2002-02-10,Morning,Assam,Clear,Fine,4,Weather Conditions
2007-03-14,Night,Gujarat,Rainy,Rough,8,Distracted Driving
2020-04-24,Afternoon,Madhya Pradesh,Rainy,Rough,4,Drunk Driving
2015-04-18,Evening,Assam,Clear,Rough,5,Distracted Driving
2015-12-15,Afternoon,Tripura,Foggy,Under Construction,10,Reckless Driving
2023-11-22,Afternoon,Madhya Pradesh,Foggy,Fine,7,Driver Fatigue
2021-08-14,Night,West Bengal,Foggy,Fine,5,Reckless Driving
2019-06-29,Night,Haryana,Foggy,Under Construction,3,Speeding
2012-03-03,Night,Madhya Pradesh,Rainy,Rough,5,Reckless Driving
2004-11-06,Night,Gujarat,Rainy,Fine,0,Distracted Driving
2023-04-17,Morning,Karnataka,Foggy,Fine,7,Drunk Driving
2015-11-04,Morning,Goa,Foggy,Rough,5,Poor Visibility
2020-10-15,Evening,Himachal Pradesh,Rainy,Rough,2,Reckless Driving
2006-04-28,Night,Uttarakhand,Clear,Under Construction,6,Weather Conditions
2000-10-23,Morning,Manipur,Clear,Under Construction,0,Mechanical Failure
2003-03-07,Morning,Sikkim,Foggy,Fine,3,Reckless Driving
2016-03-13,Night,Gujarat,Rainy,Under Construction,4,Reckless Driving
2009-10-27,Night,West Bengal,Rainy,Fine,9,Driver Fatigue
2019-10-06,Morning,Telangana,Clear,Rough,1,Weather Conditions
2008-02-10,Afternoon,Goa,Foggy,Under Construction,0,Road Conditions
2019-11-22,Evening,Goa,Clear,Rough,5,Drunk Driving
2018-07-21,Evening,Arunachal Pradesh,Clear,Fine,0,Distracted Driving
2005-02-19,Morning,Madhya Pradesh,Rainy,Fine,2,Drunk Driving
2003-10-14,Evening,Tripura,Rainy,Under Construction,1,Mechanical Failure
2001-10-05,Morning,Andhra Pradesh,Rainy,Rough,4,Driver Fatigue
2007-09-01,Afternoon,Gujarat,Clear,Fine,3,Speeding
2000-01-30,Evening,Odisha,Foggy,Under Construction,8,Poor Visibility
2017-09-12,Morning,Assam,Foggy,Fine,9,Poor Visibility
2017-04-26,Afternoon,Andhra Pradesh,Rainy,Under Construction,0,Road Conditions
2006-06-12,Morning,Gujarat,Foggy,Fine,0,Distracted Driving
2000-09-19,Evening,Uttar Pradesh,Clear,Fine,6,Weather Conditions
2008-04-11,Evening,Bihar,Clear,Rough,10,Speeding
2022-06-19,Afternoon,Arunachal Pradesh,Rainy,Rough,5,Weather Conditions
2014-04-30,Night,Kerala,Clear,Under Construction,7,Distracted Driving
2018-06-19,Evening,Haryana,Foggy,Rough,3,Reckless Driving
2014-11-14,Afternoon,Manipur,Foggy,Under Construction,5,Distracted Driving
2011-04-05,Morning,Tamil Nadu,Foggy,Under Construction,7,Mechanical Failure
2018-10-23,Afternoon,Chhattisgarh,Clear,Fine,7,Reckless Driving
2001-10-26,Night,Manipur,Rainy,Rough,3,Weather Conditions
2013-01-12,Night,Rajasthan,Rainy,Fine,10,Reckless Driving
2005-04-22,Morning,Madhya Pradesh,Rainy,Rough,0,Drunk Driving
2000-09-14,Evening,Sikkim,Foggy,Fine,8,Drunk Driving
2000-04-28,Afternoon,Arunachal Pradesh,Clear,Rough,8,Distracted Driving
2008-03-06,Night,Karnataka,Rainy,Fine,7,Weather Conditions
2014-09-19,Evening,Karnataka,Rainy,Rough,2,Reckless Driving
2004-07-06,Morning,Meghalaya,Clear,Under Construction,6,Weather Conditions
2016-07-03,Night,Assam,Foggy,Rough,5,Road Conditions
2010-02-01,Afternoon,Haryana,Rainy,Rough,3,Reckless Driving
2023-06-01,Night,Bihar,Clear,Fine,10,Distracted Driving
2013-01-28,Afternoon,Tripura,Foggy,Under Construction,10,Poor Visibility
2002-07-19,Night,Andhra Pradesh,Clear,Rough,10,Driver Fatigue
2016-08-24,Evening,Bihar,Clear,Fine,2,Weather Conditions
2016-10-13,Night,Sikkim,Foggy,Rough,7,Driver Fatigue
2004-06-14,Night,Tamil Nadu,Foggy,Fine,1,Poor Visibility
2005-06-14,Night,Karnataka,Foggy,Fine,0,Speeding
2003-03-16,Night,Telangana,Rainy,Rough,9,Reckless Driving
2009-08-16,Night,Odisha,Clear,Rough,1,Mechanical Failure
2018-06-09,Morning,Tamil Nadu,Foggy,Under Construction,7,Road Conditions
2001-10-27,Afternoon,Himachal Pradesh,Clear,Rough,9,Reckless Driving
2005-03-01,Night,Punjab,Rainy,Fine,8,Drunk Driving
2016-10-06,Afternoon,Maharashtra,Foggy,Under Construction,5,Speeding
2016-02-06,Night,Arunachal Pradesh,Foggy,Rough,5,Driver Fatigue
2001-01-29,Afternoon,Gujarat,Foggy,Fine,9,Reckless Driving
2019-11-09,Night,Nagaland,Rainy,Rough,0,Speeding
2012-11-12,Afternoon,Manipur,Foggy,Fine,10,Weather Conditions
2006-02-02,Morning,Himachal Pradesh,Rainy,Fine,9,Reckless Driving
2015-07-12,Night,Assam,Foggy,Fine,3,Reckless Driving
2009-06-28,Morning,Karnataka,Clear,Fine,1,Poor Visibility
2009-01-17,Morning,Nagaland,Rainy,Rough,8,Road Conditions
2022-10-13,Night,Sikkim,Clear,Rough,8,Mechanical Failure
2009-04-17,Morning,Karnataka,Rainy,Rough,6,Reckless Driving
2022-11-11,Night,Manipur,Clear,Under Construction,7,Driver Fatigue
2019-02-28,Morning,Jharkhand,Foggy,Fine,4,Distracted Driving
2013-12-05,Night,Uttar Pradesh,Rainy,Rough,2,Distracted Driving
2018-08-31,Afternoon,Uttarakhand,Rainy,Under Construction,9,Poor Visibility
2022-05-29,Evening,Sikkim,Foggy,Fine,2,Poor Visibility
2010-09-29,Morning,Meghalaya,Foggy,Fine,9,Drunk Driving
2022-03-07,Afternoon,Uttar Pradesh,Rainy,Rough,0,Poor Visibility
2012-04-19,Night,Manipur,Clear,Fine,1,Weather Conditions
2011-10-17,Morning,Rajasthan,Foggy,Under Construction,4,Road Conditions
2012-09-23,Afternoon,Sikkim,Clear,Fine,5,Reckless Driving
2019-08-27,Evening,Uttar Pradesh,Foggy,Fine,10,Mechanical Failure
2018-02-12,Afternoon,Rajasthan,Clear,Fine,4,Distracted Driving
2016-05-11,Morning,Manipur,Rainy,Under Construction,0,Mechanical Failure
2018-03-12,Night,Himachal Pradesh,Rainy,Rough,2,Weather Conditions
2013-08-02,Afternoon,Arunachal Pradesh,Foggy,Fine,7,Poor Visibility
2002-10-13,Evening,Andhra Pradesh,Rainy,Under Construction,6,Poor Visibility
2003-06-13,Night,Sikkim,Clear,Rough,2,Drunk Driving
2012-07-15,Morning,Himachal Pradesh,Foggy,Under Construction,9,Road Conditions
2017-09-14,Morning,Andhra Pradesh,Rainy,Fine,4,Reckless Driving
2016-10-01,Night,Andhra Pradesh,Foggy,Under Construction,4,Drunk Driving
2015-12-06,Morning,Bihar,Foggy,Rough,1,Reckless Driving
2001-02-26,Night,Tamil Nadu,Foggy,Under Construction,7,Mechanical Failure
2009-09-16,Night,Tripura,Foggy,Fine,2,Drunk Driving
2014-03-13,Evening,Telangana,Foggy,Rough,9,Weather Conditions
2001-07-22,Morning,Tripura,Foggy,Rough,6,Drunk Driving
2001-12-27,Evening,Assam,Clear,Fine,2,Road Conditions
2017-05-06,Night,Arunachal Pradesh,Clear,Rough,2,Poor Visibility
2020-09-02,Afternoon,Manipur,Rainy,Under Construction,7,Weather Conditions
2012-07-16,Afternoon,Bihar,Rainy,Under Construction,10,Driver Fatigue
2021-08-05,Night,Rajasthan,Clear,Fine,5,Poor Visibility
2018-12-11,Morning,West Bengal,Rainy,Fine,9,Drunk Driving
2013-08-16,Afternoon,Sikkim,Foggy,Rough,4,Drunk Driving
2021-07-20,Morning,Rajasthan,Rainy,Fine,7,Distracted Driving
2023-12-19,Afternoon,Goa,Foggy,Under Construction,6,Mechanical Failure
2010-02-07,Afternoon,Tamil Nadu,Rainy,Under Construction,6,Mechanical Failure
2012-11-03,Morning,Madhya Pradesh,Rainy,Rough,5,Poor Visibility
2002-10-14,Night,Haryana,Foggy,Rough,8,Driver Fatigue
2009-05-05,Morning,Maharashtra,Clear,Under Construction,5,Distracted Driving
2016-02-14,Morning,Goa,Clear,Fine,2,Speeding
2014-08-12,Night,Odisha,Foggy,Rough,9,Road Conditions
2019-09-09,Morning,Karnataka,Clear,Fine,4,Distracted Driving
2002-03-30,Night,Sikkim,Foggy,Under Construction,3,Driver Fatigue
2015-02-05,Evening,West Bengal,Foggy,Rough,6,Drunk Driving
2015-01-31,Night,Madhya Pradesh,Foggy,Fine,9,Distracted Driving
2021-10-02,Afternoon,Arunachal Pradesh,Clear,Fine,3,Reckless Driving
2002-04-30,Night,Meghalaya,Clear,Rough,7,Poor Visibility
2017-02-12,Night,Uttarakhand,Clear,Rough,7,Reckless Driving
2020-08-31,Morning,Sikkim,Foggy,Under Construction,0,Driver Fatigue
2017-09-03,Morning,Telangana,Foggy,Rough,8,Mechanical Failure
2018-03-15,Night,Karnataka,Foggy,Fine,2,Reckless Driving
2012-09-27,Night,Haryana,Clear,Rough,0,Mechanical Failure
2010-09-09,Evening,Goa,Rainy,Fine,3,Mechanical Failure
2000-02-05,Afternoon,Tripura,Rainy,Rough,0,Road Conditions
2016-02-21,Night,Sikkim,Rainy,Under Construction,7,Reckless Driving
2018-09-06,Afternoon,Punjab,Foggy,Rough,6,Road Conditions
2005-04-18,Afternoon,Maharashtra,Clear,Fine,1,Road Conditions
2001-02-12,Morning,Gujarat,Rainy,Rough,4,Mechanical Failure
2008-08-26,Evening,Karnataka,Foggy,Rough,2,Reckless Driving
2009-12-14,Morning,Rajasthan,Rainy,Under Construction,9,Road Conditions
2004-08-27,Morning,Sikkim,Rainy,Under Construction,8,Speeding
2017-08-23,Night,Assam,Foggy,Fine,6,Poor Visibility
2017-10-15,Morning,Mizoram,Foggy,Under Construction,5,Driver Fatigue
2004-07-30,Night,Haryana,Foggy,Fine,10,Driver Fatigue
2010-02-24,Evening,Meghalaya,Rainy,Under Construction,8,Poor Visibility
2006-05-14,Night,Gujarat,Foggy,Rough,9,Poor Visibility
2008-09-29,Afternoon,Tamil Nadu,Clear,Rough,7,Mechanical Failure
2020-11-20,Morning,Haryana,Clear,Under Construction,4,Mechanical Failure
2021-02-18,Afternoon,Jharkhand,Foggy,Under Construction,9,Distracted Driving
2022-10-29,Night,Andhra Pradesh,Rainy,Rough,8,Weather Conditions
2008-11-08,Night,Haryana,Foggy,Under Construction,3,Distracted Driving
2023-06-20,Afternoon,Andhra Pradesh,Foggy,Fine,3,Mechanical Failure
2017-05-07,Night,Nagaland,Foggy,Fine,6,Speeding
2009-04-18,Night,Uttar Pradesh,Clear,Under Construction,7,Road Conditions
2020-09-12,Morning,Uttar Pradesh,Foggy,Fine,8,Mechanical Failure
2021-11-02,Afternoon,Chhattisgarh,Foggy,Under Construction,1,Mechanical Failure
2006-04-01,Afternoon,West Bengal,Clear,Rough,2,Drunk Driving
2022-03-30,Evening,Bihar,Clear,Under Construction,7,Road Conditions
2011-01-01,Afternoon,Karnataka,Foggy,Rough,9,Distracted Driving
2009-08-07,Night,Bihar,Rainy,Under Construction,2,Distracted Driving
2016-01-04,Night,Goa,Foggy,Rough,10,Drunk Driving
2002-08-27,Morning,Sikkim,Clear,Rough,6,Distracted Driving
2019-01-20,Night,West Bengal,Rainy,Rough,0,Distracted Driving
2018-12-01,Afternoon,Uttar Pradesh,Foggy,Under Construction,3,Road Conditions
2012-12-31,Night,Punjab,Foggy,Under Construction,4,Weather Conditions
2001-05-30,Afternoon,Maharashtra,Clear,Rough,9,Road Conditions
2010-09-20,Night,Nagaland,Clear,Rough,3,Speeding
2014-10-29,Night,Madhya Pradesh,Clear,Under Construction,6,Mechanical Failure
2005-06-06,Morning,Rajasthan,Rainy,Rough,8,Driver Fatigue
2020-08-24,Evening,Punjab,Foggy,Rough,0,Road Conditions
2017-06-20,Night,Mizoram,Clear,Rough,2,Weather Conditions
2009-08-24,Morning,Telangana,Clear,Under Construction,9,Mechanical Failure
2022-07-22,Morning,Goa,Foggy,Fine,7,Poor Visibility
2023-04-12,Afternoon,Bihar,Rainy,Fine,7,Weather Conditions
2007-10-19,Evening,West Bengal,Clear,Under Construction,5,Road Conditions
2000-02-28,Morning,Goa,Clear,Under Construction,10,Road Conditions
2014-04-09,Night,Karnataka,Rainy,Rough,5,Road Conditions
2018-09-25,Night,Gujarat,Rainy,Fine,3,Weather Conditions
2014-06-28,Night,Punjab,Rainy,Under Construction,3,Reckless Driving
2000-10-06,Night,Odisha,Rainy,Rough,10,Reckless Driving
2020-02-28,Afternoon,Bihar,Clear,Fine,6,Speeding
2012-08-14,Afternoon,Chhattisgarh,Foggy,Under Construction,1,Reckless Driving
2022-01-23,Night,Gujarat,Foggy,Under Construction,7,Road Conditions
2014-02-08,Evening,Madhya Pradesh,Foggy,Rough,3,Poor Visibility
2021-07-03,Night,Kerala,Clear,Fine,7,Speeding
2001-06-14,Afternoon,Tamil Nadu,Clear,Under Construction,6,Mechanical Failure
2019-11-21,Evening,Andhra Pradesh,Foggy,Fine,4,Reckless Driving
2022-09-10,Morning,Bihar,Foggy,Under Construction,5,Distracted Driving
